"all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"casual","Sunday",2254.24550000094
"member","Sunday",893.141979946324
"casual","Monday",1938.08216866071
"member","Monday",751.906399733017
"casual","Tuesday",1679.0185131256
"member","Tuesday",731.651185740905
"casual","Wednesday",1702.58813752743
"member","Wednesday",737.009068555415
"casual","Thursday",1760.73423759894
"member","Thursday",743.991202598957
"casual","Friday",1834.71309409966
"member","Friday",764.271151365006
"casual","Saturday",2133.07783621676
"member","Saturday",882.96324607288
